"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Georgia,97,3,0,98,92,6,2,95,87,11,2,94,83,15,2,93,58667,12335,22,01/01/2023,12/31/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,3,1,98,92,7,1,95,83,14,3,93,81,17,2,93,16657,4948,30,01/01/2023,12/31/2023
Idaho,98,2,0,99,93,6,1,96,86,12,2,94,82,17,1,94,21810,5728,27,01/01/2023,12/31/2023
Illinois,97,3,0,99,92,7,1,95,88,10,2,95,82,16,2,93,78272,18368,24,01/01/2023,12/31/2023
Indiana,98,2,0,99,92,6,2,95,86,12,2,94,81,17,2,93,19575,5597,29,01/01/2023,12/31/2023
Iowa,98,2,0,99,93,6,1,96,88,10,2,94,83,15,2,94,23598,6832,32,01/01/2023,12/31/2023
Kansas,98,2,0,99,92,7,1,95,86,12,2,94,81,17,2,93,27489,7403,27,01/01/2023,12/31/2023
Kentucky,97,3,0,98,92,7,1,96,84,13,3,94,80,18,2,92,49116,9898,23,01/01/2023,12/31/2023
Louisiana,98,2,0,99,93,6,1,96,89,9,2,95,87,11,2,95,32652,7473,24,01/01/2023,12/31/2023
Maine,98,2,0,99,93,6,1,96,84,14,2,94,82,16,2,93,33984,9960,29,01/01/2023,12/31/2023
Maryland,97,3,0,98,92,6,2,95,85,12,3,93,81,16,3,92,38792,9092,23,01/01/2023,12/31/2023
Massachusetts,97,3,0,98,92,6,2,95,86,12,2,94,83,15,2,93,42151,10498,25,01/01/2023,12/31/2023
Michigan,97,3,0,98,92,6,2,95,84,13,3,93,78,19,3,91,61655,14741,24,01/01/2023,12/31/2023
Minnesota,97,3,0,99,92,7,1,95,85,13,2,93,80,19,1,93,20394,6162,30,01/01/2023,12/31/2023
Mississippi,97,2,1,98,92,6,2,95,85,11,4,94,83,14,3,93,28997,6010,21,01/01/2023,12/31/2023
Missouri,97,3,0,98,92,7,1,96,85,12,3,94,80,18,2,92,30661,7406,24,01/01/2023,12/31/2023
Montana,97,3,0,98,92,7,1,95,84,13,3,93,79,19,2,92,26970,7009,26,01/01/2023,12/31/2023
Nebraska,97,3,0,99,92,7,1,95,86,11,3,94,81,17,2,93,17484,4976,30,01/01/2023,12/31/2023
Nevada,95,4,1,97,89,9,2,93,83,14,3,93,80,17,3,92,24672,5565,23,01/01/2023,12/31/2023
New Hampshire,98,2,0,99,94,5,1,97,88,10,2,95,86,13,1,94,15439,4723,31,01/01/2023,12/31/2023
New Jersey,97,3,0,98,90,8,2,94,85,12,3,94,81,17,2,93,87558,20656,24,01/01/2023,12/31/2023
New Mexico,96,4,0,98,91,8,1,95,83,15,2,94,80,18,2,92,39128,8323,22,01/01/2023,12/31/2023
New York,97,3,0,98,91,7,2,95,83,14,3,93,80,18,2,92,150758,35447,24,01/01/2023,12/31/2023
North Carolina,97,3,0,98,93,6,1,96,88,10,2,95,84,14,2,93,94122,25250,27,01/01/2023,12/31/2023
North Dakota,97,3,0,99,92,6,2,96,82,15,3,93,76,22,2,91,11985,3447,29,01/01/2023,12/31/2023
Ohio,97,3,0,99,92,7,1,96,87,11,2,94,82,16,2,93,180580,44026,25,01/01/2023,12/31/2023
Oklahoma,97,3,0,98,92,6,2,95,86,12,2,95,84,14,2,94,48633,12259,25,01/01/2023,12/31/2023
Oregon,97,3,0,98,91,8,1,95,85,12,3,94,83,15,2,93,21109,5407,26,01/01/2023,12/31/2023
Pennsylvania,97,3,0,99,92,7,1,95,88,10,2,95,84,14,2,94,79674,24293,31,01/01/2023,12/31/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,2,0,99,92,7,1,96,90,8,2,95,87,12,1,96,3089,925,31,01/01/2023,12/31/2023
South Carolina,97,3,0,98,92,6,2,95,84,13,3,94,81,16,3,92,27476,6500,24,01/01/2023,12/31/2023
South Dakota,97,3,0,99,92,6,2,95,84,14,2,94,82,17,1,94,17809,2993,17,01/01/2023,12/31/2023
Tennessee,96,4,0,98,92,7,1,95,84,13,3,94,82,16,2,93,68720,15231,23,01/01/2023,12/31/2023
Texas,97,3,0,98,92,6,2,95,88,9,3,95,85,13,2,94,145070,29978,21,01/01/2023,12/31/2023
Utah,97,3,0,99,92,7,1,96,89,10,1,95,86,13,1,95,86853,18376,21,01/01/2023,12/31/2023
Vermont,98,2,0,99,93,6,1,96,87,11,2,95,84,15,1,94,17449,5116,30,01/01/2023,12/31/2023
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,93,6,1,96,87,11,2,94,83,15,2,94,74262,17904,24,01/01/2023,12/31/2023
Washington,97,3,0,98,92,7,1,95,85,13,2,94,81,17,2,92,75208,17283,23,01/01/2023,12/31/2023
West Virginia,97,3,0,98,92,7,1,96,84,14,2,94,80,18,2,92,46387,11152,24,01/01/2023,12/31/2023
Wisconsin,98,2,0,99,93,6,1,96,88,10,2,95,83,16,1,94,46330,15620,34,01/01/2023,12/31/2023
Wyoming,98,2,0,99,93,6,1,96,85,13,2,94,82,17,1,94,4547,1012,25,01/01/2023,12/31/2023
