"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,01/01/2023,12/31/2023
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,01/01/2023,12/31/2023
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.586,,01/01/2023,12/31/2023
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.752,,01/01/2023,12/31/2023
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.665,,01/01/2023,12/31/2023
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.317,,01/01/2023,12/31/2023
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.432,,01/01/2023,12/31/2023
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.371,,01/01/2023,12/31/2023
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.695,,01/01/2023,12/31/2023
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.941,,01/01/2023,12/31/2023
AZ,HAI_3_SIR,SSI - Colon Surgery,0.811,,01/01/2023,12/31/2023
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.756,,01/01/2023,12/31/2023
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.350,,01/01/2023,12/31/2023
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.021,,01/01/2023,12/31/2023
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.619,,01/01/2023,12/31/2023
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.861,,01/01/2023,12/31/2023
AZ,HAI_5_SIR,MRSA Bacteremia,0.732,,01/01/2023,12/31/2023
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.440,,01/01/2023,12/31/2023
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.505,,01/01/2023,12/31/2023
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.472,,01/01/2023,12/31/2023
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.713,,01/01/2023,12/31/2023
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.795,,01/01/2023,12/31/2023
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.753,,01/01/2023,12/31/2023
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.670,,01/01/2023,12/31/2023
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.745,,01/01/2023,12/31/2023
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.707,,01/01/2023,12/31/2023
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.815,,01/01/2023,12/31/2023
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.945,,01/01/2023,12/31/2023
CA,HAI_3_SIR,SSI - Colon Surgery,0.878,,01/01/2023,12/31/2023
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.762,,01/01/2023,12/31/2023
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.057,,01/01/2023,12/31/2023
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.901,,01/01/2023,12/31/2023
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.663,,01/01/2023,12/31/2023
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.773,,01/01/2023,12/31/2023
CA,HAI_5_SIR,MRSA Bacteremia,0.717,,01/01/2023,12/31/2023
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.466,,01/01/2023,12/31/2023
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.496,,01/01/2023,12/31/2023
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.481,,01/01/2023,12/31/2023
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.447,,01/01/2023,12/31/2023
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.639,,01/01/2023,12/31/2023
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.537,,01/01/2023,12/31/2023
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.426,,01/01/2023,12/31/2023
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.598,,01/01/2023,12/31/2023
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.507,,01/01/2023,12/31/2023
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.932,,01/01/2023,12/31/2023
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.272,,01/01/2023,12/31/2023
CO,HAI_3_SIR,SSI - Colon Surgery,1.092,,01/01/2023,12/31/2023
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.964,,01/01/2023,12/31/2023
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.700,,01/01/2023,12/31/2023
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.293,,01/01/2023,12/31/2023
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.441,,01/01/2023,12/31/2023
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.705,,01/01/2023,12/31/2023
CO,HAI_5_SIR,MRSA Bacteremia,0.561,,01/01/2023,12/31/2023
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.354,,01/01/2023,12/31/2023
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.429,,01/01/2023,12/31/2023
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.390,,01/01/2023,12/31/2023
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.495,,01/01/2023,12/31/2023
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.712,,01/01/2023,12/31/2023
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.596,,01/01/2023,12/31/2023
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.295,,01/01/2023,12/31/2023
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.454,,01/01/2023,12/31/2023
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.368,,01/01/2023,12/31/2023
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.583,,01/01/2023,12/31/2023
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.921,,01/01/2023,12/31/2023
CT,HAI_3_SIR,SSI - Colon Surgery,0.738,,01/01/2023,12/31/2023
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.700,,01/01/2023,12/31/2023
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.540,,01/01/2023,12/31/2023
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.059,,01/01/2023,12/31/2023
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.535,,01/01/2023,12/31/2023
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.853,,01/01/2023,12/31/2023
CT,HAI_5_SIR,MRSA Bacteremia,0.680,,01/01/2023,12/31/2023
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.447,,01/01/2023,12/31/2023
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.542,,01/01/2023,12/31/2023
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.493,,01/01/2023,12/31/2023
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.635,,01/01/2023,12/31/2023
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.025,,01/01/2023,12/31/2023
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.813,,01/01/2023,12/31/2023
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.298,,01/01/2023,12/31/2023
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.554,,01/01/2023,12/31/2023
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.411,,01/01/2023,12/31/2023
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.488,,01/01/2023,12/31/2023
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.109,,01/01/2023,12/31/2023
DC,HAI_3_SIR,SSI - Colon Surgery,0.751,,01/01/2023,12/31/2023
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.559,,01/01/2023,12/31/2023
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.286,,01/01/2023,12/31/2023
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.204,,01/01/2023,12/31/2023
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.417,,01/01/2023,12/31/2023
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.845,,01/01/2023,12/31/2023
DC,HAI_5_SIR,MRSA Bacteremia,0.603,,01/01/2023,12/31/2023
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.307,,01/01/2023,12/31/2023
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.425,,01/01/2023,12/31/2023
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.362,,01/01/2023,12/31/2023
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.544,,01/01/2023,12/31/2023
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.005,,01/01/2023,12/31/2023
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.748,,01/01/2023,12/31/2023
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.416,,01/01/2023,12/31/2023
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.876,,01/01/2023,12/31/2023
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.614,,01/01/2023,12/31/2023
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.515,,01/01/2023,12/31/2023
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.151,,01/01/2023,12/31/2023
DE,HAI_3_SIR,SSI - Colon Surgery,0.785,,01/01/2023,12/31/2023
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.195,,01/01/2023,12/31/2023
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.086,,01/01/2023,12/31/2023
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.766,,01/01/2023,12/31/2023
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.431,,01/01/2023,12/31/2023
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.919,,01/01/2023,12/31/2023
DE,HAI_5_SIR,MRSA Bacteremia,0.641,,01/01/2023,12/31/2023
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.248,,01/01/2023,12/31/2023
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.391,,01/01/2023,12/31/2023
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.313,,01/01/2023,12/31/2023
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.518,,01/01/2023,12/31/2023
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.603,,01/01/2023,12/31/2023
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.559,,01/01/2023,12/31/2023
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.377,,01/01/2023,12/31/2023
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.445,,01/01/2023,12/31/2023
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.410,,01/01/2023,12/31/2023
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.638,,01/01/2023,12/31/2023
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.761,,01/01/2023,12/31/2023
FL,HAI_3_SIR,SSI - Colon Surgery,0.697,,01/01/2023,12/31/2023
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.864,,01/01/2023,12/31/2023
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.169,,01/01/2023,12/31/2023
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.008,,01/01/2023,12/31/2023
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.713,,01/01/2023,12/31/2023
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.832,,01/01/2023,12/31/2023
FL,HAI_5_SIR,MRSA Bacteremia,0.771,,01/01/2023,12/31/2023
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.267,,01/01/2023,12/31/2023
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.292,,01/01/2023,12/31/2023
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.280,,01/01/2023,12/31/2023
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.655,,01/01/2023,12/31/2023
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.784,,01/01/2023,12/31/2023
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.717,,01/01/2023,12/31/2023
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.596,,01/01/2023,12/31/2023
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.716,,01/01/2023,12/31/2023
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.654,,01/01/2023,12/31/2023
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.788,,01/01/2023,12/31/2023
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.000,,01/01/2023,12/31/2023
GA,HAI_3_SIR,SSI - Colon Surgery,0.890,,01/01/2023,12/31/2023
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.118,,01/01/2023,12/31/2023
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.569,,01/01/2023,12/31/2023
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.329,,01/01/2023,12/31/2023
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.719,,01/01/2023,12/31/2023
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.904,,01/01/2023,12/31/2023
GA,HAI_5_SIR,MRSA Bacteremia,0.808,,01/01/2023,12/31/2023
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.379,,01/01/2023,12/31/2023
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.426,,01/01/2023,12/31/2023
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.402,,01/01/2023,12/31/2023
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,01/01/2023,12/31/2023
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,01/01/2023,12/31/2023
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,01/01/2023,12/31/2023
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,01/01/2023,12/31/2023
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,01/01/2023,12/31/2023
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
